"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5182","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","7","1","1","7.022827","0","30"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","68","16","6","61.038021","0","318"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","9","2","1","7.837762","0","24"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","90","14","3","129.481171","0","715"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","7","7","1","7.238539","0","8"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","7","1","1","7.242424","0","16"
"/Game/Materials/M_Pillar.M_Pillar","0","18","2","1","22.888823","0","101"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","21","3","1","23.958448","0","163"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","9","3","1","8.753231","0","26"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","6","6","1","7.118654","0","7"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","6","6","1","6.569734","0","8"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","8","4","1","7.972140","0","23"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","7","4","1","7.092524","0","25"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","52","8","2","60.117992","0","308"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","30","7","1","28.871904","0","195"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","10","6","1","8.729562","0","35"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","16","4","1","15.559312","0","119"
